x,y,z
0,1931,403
0,2104,439
0,1858,2066
0,1894,1386
0,2143,1348
0,2119,2333
0,2126,1626
0,2069,1146
1,2238,1687
1,2165,1075
0,2330,1308
1,2213,1800
1,2156,1398
0,2105,600
1,2223,393
0,2254,1292
1,2055,390
1,2135,2101
1,2038,814
0,2147,1021
0,2118,286
0,2115,311
0,2136,608
0,1954,1732
0,2489,495
0,2018,698
1,2109,2716
0,2139,1907
1,2031,535
1,2025,388
1,2251,1189
1,2069,1722
0,2097,593
0,2114,308
0,2127,1395
0,2164,1596
0,2144,1311
1,2156,511
0,2122,714
0,2113,720
0,2082,306
0,2426,488
0,2133,2105
0,2054,1698
0,2893,708
0,2005,885
0,2118,569
0,3314,1516
0,2197,1410
0,2411,1795
1,2022,1210
1,2049,364
1,2207,220
0,2234,483
0,2679,365
0,2141,1697
0,2014,1052
0,2040,1583
0,2400,502
1,2248,340
1,2125,221
0,2231,1126
0,2061,908
0,2174,388
0,2300,1753
0,2085,2123
0,2256,1508
0,3853,1127
0,2337,323
0,2153,1759
0,2098,1498
0,2180,404
0,2108,2110
0,2278,2065
0,2251,1713
0,2173,1147
0,2501,1701
0,2428,1528
0,2164,788
0,2476,1490
0,2171,1911
0,2306,947
0,1917,990
0,2061,2119
0,2267,1719
0,2069,2069
0,2180,1743
0,2212,1919
0,2158,1355
0,2079,372
0,2137,1159
0,2103,2347
0,2432,748
1,2214,811
1,2145,390
1,2204,2146
1,2241,1439
1,2197,1560
1,2032,567
1,2315,201
1,2221,1009
1,2167,1989
1,2376,1230
1,2196,1818
1,2268,225
1,2070,1820
1,2195,406
1,1983,404
